MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	1024.0137	Sec	11/6/2020 1:27:14 PM
Time	Station 1 Force	Station 1 Displacement
Sec	N	mm
359.01074	33.664944	0.0056572333
360.01074	34.249702	0.0043320409
361.01074	36.914925	0.0048637181
362.01074	38.257084	0.0050130798
363.01074	38.930096	0.0067489506
364.01074	35.857132	0.0067702881
365.01074	40.334942	0.0066417437
366.01074	36.886795	0.0058492692
367.01074	36.246384	0.004700826
368.01074	38.567368	0.0061074644
369.01074	33.846989	0.0051846891
370.01074	35.921432	0.0052999631
371.01074	35.628025	0.0048309318
372.01074	37.656055	0.004933455
373.01074	32.434704	0.0064975214
374.01074	35.938915	0.0066451263
375.01074	35.872208	0.0045171166
376.01074	39.09124	0.0052333488
377.01074	35.473106	0.0063356697
378.01074	36.177467	0.0056249672
379.01074	39.317135	0.0059174448
380.01074	36.703751	0.0059841238
381.01074	40.365685	0.0046141753
382.01074	38.647739	0.0077687846
383.01074	34.857563	0.0053023049
384.01074	37.582714	0.0058107581
385.01074	38.446011	0.0040780744
386.01074	35.974476	0.0075109149
387.01074	35.419258	0.0057347761
388.01074	37.477379	0.0052705589
389.01074	38.943157	0.005137526
390.01074	36.72525	0.0045912769
391.01074	36.639252	0.0062425141
392.01074	37.860199	0.0054516662
393.01074	36.832142	0.0067117405
394.01074	35.103951	0.0052557271
395.01074	37.884312	0.0056044105
396.01074	36.127033	0.0049147196
397.01074	36.111309	0.0057745888
398.01074	35.482349	0.0050430042
399.01074	39.530926	0.0052203382
400.01074	33.564682	0.004832753
401.01074	32.997158	0.0047911191
402.01074	35.562725	0.004363006
403.01074	39.056278	0.0035391115
404.01074	40.275269	0.0051128059
405.01074	36.331177	0.0047481842
406.01074	36.410545	0.0062253401
407.01074	37.185226	0.0058006099
408.01074	35.475319	0.0046768864
409.01074	36.979828	0.0075949635
410.01074	36.764431	0.0043695113
411.01074	39.785755	0.006478786
412.01074	37.13821	0.0055081323
413.01074	37.884109	0.0053486875
414.01074	37.171764	0.0052135726
415.01074	38.997005	0.004774726
416.01074	33.192715	0.0057274904
417.01074	37.093399	0.0054482836
418.01074	36.823906	0.0047606747
419.01074	34.175156	0.004358843
420.01074	35.956192	0.0034066637
421.01074	36.672405	0.006036947
422.01074	34.601578	0.0045985626
423.01074	35.548256	0.0057805735
424.01074	34.535671	0.0063557061
425.01074	32.741779	0.00673594
426.01074	38.597912	0.0054646768
427.01074	36.926785	0.0049128984
428.01074	35.507465	0.0047762874
429.01074	30.001757	0.0028057704
430.01074	32.326809	0.005649427
431.01074	33.666756	0.0036228995
432.01074	34.163704	0.0060455338
433.01074	36.11372	0.005581772
434.01074	34.870823	0.0049724868
435.01074	33.794544	0.0052968403
436.01074	36.172443	0.004609752
437.01074	35.369633	0.0055518476
438.01074	36.498753	0.0068592806
439.01074	34.152855	0.0048736064
440.01074	33.85603	0.0067190262
441.01074	35.802082	0.0045834705
442.01074	34.460075	0.0052073277
443.01074	36.40974	0.0059997365
444.01074	36.262459	0.0048970254
445.01074	35.116409	0.0052083684
446.01074	34.099609	0.006055682
447.01074	36.8876	0.0055380566
448.01074	34.161091	0.0062341872
